Ticker Quantle_Start_Date BBG_Start_Date Match?
IAL US Equity 2000-01-03 1990-01-02 False
EHO US Equity 2000-01-03 1990-01-02 False
PBZ US Equity 2003-03-03 1999-06-22 False
PMP US Equity 2003-03-03 1990-01-03 False
LOF US Equity 2000-01-03 1993-10-18 False
DOC US Equity 2000-01-03 1990-01-02 False
MIE US Equity 2000-01-03 1990-01-02 False
CDC US Equity 2003-03-03 1998-10-02 False
KIP US Equity 2003-03-03 1990-01-03 False
ECU US Equity 2003-03-03 1990-01-03 False
CIU US Equity 2000-01-03 1998-05-11 False
FZP US Equity 2003-03-03 1990-11-23 False
AGE US Equity 2000-12-01 2000-11-30 False
NIN US Equity 2003-03-03 1990-04-06 False
VXL US Equity 2000-01-03 1990-01-02 False
NLJ US Equity 2000-01-03 1995-03-16 False
KOV US Equity 2000-01-03 1998-05-11 False
BPY US Equity 2001-06-18 1995-11-28 False
DPU US Equity 2003-03-03 2000-11-10 False
BKQ US Equity 2000-01-03 1990-01-02 False
OJV US Equity 2001-07-09 1999-11-01 False
AUI US Equity 2000-01-03 1990-01-02 False
ILA US Equity 2000-01-03 1990-01-02 False
TCH US Equity 2005-07-20 1990-01-02 False
IXM US Equity 2000-01-03 1990-01-02 False
MHY US Equity 2000-01-03 1998-05-11 False
VVE US Equity 2000-01-03 1990-01-02 False
DGK US Equity 2003-03-03 1990-01-03 False
WQE US Equity 2003-03-03 1999-06-28 False
WVG US Equity 2000-01-03 1990-01-02 False
RTM US Equity 2000-01-03 1998-05-11 False
HMO US Equity 2000-01-03 1990-07-26 False
IQD US Equity 2000-08-01 1990-01-02 False
UWG US Equity 2010-04-20 2010-04-20 False
BYX US Equity 2003-03-03 1990-01-03 False
IRF US Equity 2000-01-03 1990-01-02 False
TZV US Equity 2003-03-03 2000-04-06 False
SFM US Equity 2003-03-03 1990-01-03 False
YHR US Equity 2003-03-03 2000-06-08 False
UBK US Equity 2003-03-03 1993-06-30 False
IWN US Equity 2000-01-03 1998-05-11 False
YTV US Equity 2000-01-03 1990-01-02 False
SQO US Equity 2000-01-03 1990-01-02 False
SWX US Equity 2000-01-03 2001-11-22 False
MHX US Equity 2003-03-03 1990-01-12 False
YDY US Equity 2000-01-03 1990-01-02 False
ZAS US Equity 2000-01-03 1990-01-02 False
LSU US Equity 2001-05-24 2001-05-23 False
BIM US Equity 2009-10-01 2009-10-01 False
